Valeurs lues      : 67584
Timestamps lus    : 68096
Date: 2026-05-04 14:37:41 | Valeur: -12901
Date: 2026-05-04 14:37:41 | Valeur: -12806
Date: 2026-05-04 14:37:41 | Valeur: -12472
Date: 2026-05-04 14:37:41 | Valeur: -12939
Date: 2026-05-04 14:37:41 | Valeur: -14444
Date: 2026-05-04 14:37:41 | Valeur: -14140
Date: 2026-05-04 14:37:41 | Valeur: -13077
Date: 2026-05-04 14:37:41 | Valeur: -14953
Date: 2026-05-04 14:37:41 | Valeur: -12325
Date: 2026-05-04 14:37:41 | Valeur: -13551
Date: 2026-05-04 14:37:41 | Valeur: -12182
Date: 2026-05-04 14:37:41 | Valeur: -14896
Date: 2026-05-04 14:37:41 | Valeur: -15697
Date: 2026-05-04 14:37:41 | Valeur: -12408
Date: 2026-05-04 14:37:41 | Valeur: -12297
Date: 2026-05-04 14:37:41 | Valeur: -11011
Date: 2026-05-04 14:37:41 | Valeur: -15654
Date: 2026-05-04 14:37:41 | Valeur: -14977
Date: 2026-05-04 14:37:41 | Valeur: -13366
Date: 2026-05-04 14:37:41 | Valeur: -10500
Date: 2026-05-04 14:37:41 | Valeur: -10550
Date: 2026-05-04 14:37:41 | Valeur: -13908
Date: 2026-05-04 14:37:41 | Valeur: -11990
Date: 2026-05-04 14:37:41 | Valeur: -13535
Date: 2026-05-04 14:37:41 | Valeur: -13157
Date: 2026-05-04 14:37:41 | Valeur: -12704
Date: 2026-05-04 14:37:41 | Valeur: -13268
Date: 2026-05-04 14:37:41 | Valeur: -13486
Date: 2026-05-04 14:37:41 | Valeur: -13324
Date: 2026-05-04 14:37:41 | Valeur: -13565
Date: 2026-05-04 14:37:41 | Valeur: -16290
Date: 2026-05-04 14:37:41 | Valeur: -11507
Date: 2026-05-04 14:37:41 | Valeur: -13790
Date: 2026-05-04 14:37:41 | Valeur: -13318
Date: 2026-05-04 14:37:41 | Valeur: -12752
Date: 2026-05-04 14:37:41 | Valeur: -12359
Date: 2026-05-04 14:37:41 | Valeur: -12143
Date: 2026-05-04 14:37:41 | Valeur: -14688
Date: 2026-05-04 14:37:41 | Valeur: -14917
Date: 2026-05-04 14:37:41 | Valeur: -14247
Date: 2026-05-04 14:37:41 | Valeur: -15793
Date: 2026-05-04 14:37:41 | Valeur: -12035
Date: 2026-05-04 14:37:41 | Valeur: -11213
Date: 2026-05-04 14:37:41 | Valeur: -13255
Date: 2026-05-04 14:37:41 | Valeur: -13268
Date: 2026-05-04 14:37:41 | Valeur: -14062
Date: 2026-05-04 14:37:41 | Valeur: -10614
Date: 2026-05-04 14:37:41 | Valeur: -15135
Date: 2026-05-04 14:37:41 | Valeur: -14145
Date: 2026-05-04 14:37:41 | Valeur: -11277
Date: 2026-05-04 14:37:41 | Valeur: -12819
Date: 2026-05-04 14:37:41 | Valeur: -13027
Date: 2026-05-04 14:37:41 | Valeur: -12384
Date: 2026-05-04 14:37:41 | Valeur: -13398
Date: 2026-05-04 14:37:41 | Valeur: -12964
Date: 2026-05-04 14:37:41 | Valeur: -13286
Date: 2026-05-04 14:37:41 | Valeur: -12148
Date: 2026-05-04 14:37:41 | Valeur: -11524
Date: 2026-05-04 14:37:41 | Valeur: -13212
Date: 2026-05-04 14:37:41 | Valeur: -12286
Date: 2026-05-04 14:37:41 | Valeur: -13706
Date: 2026-05-04 14:37:41 | Valeur: -12932
Date: 2026-05-04 14:37:41 | Valeur: -11254
Date: 2026-05-04 14:37:41 | Valeur: -12224
Date: 2026-05-04 14:37:41 | Valeur: -14423
Date: 2026-05-04 14:37:41 | Valeur: -15161
Date: 2026-05-04 14:37:41 | Valeur: -12582
Date: 2026-05-04 14:37:41 | Valeur: -12971
Date: 2026-05-04 14:37:41 | Valeur: -13147
Date: 2026-05-04 14:37:41 | Valeur: -12093
Date: 2026-05-04 14:37:41 | Valeur: -14362
Date: 2026-05-04 14:37:41 | Valeur: -12199
Date: 2026-05-04 14:37:41 | Valeur: -14946
Date: 2026-05-04 14:37:41 | Valeur: -14128
Date: 2026-05-04 14:37:41 | Valeur: -14102
Date: 2026-05-04 14:37:41 | Valeur: -13640
Date: 2026-05-04 14:37:41 | Valeur: -14690
Date: 2026-05-04 14:37:41 | Valeur: -11834
Date: 2026-05-04 14:37:41 | Valeur: -11617
Date: 2026-05-04 14:37:41 | Valeur: -13841
Date: 2026-05-04 14:37:41 | Valeur: -13043
Date: 2026-05-04 14:37:41 | Valeur: -13482
Date: 2026-05-04 14:37:41 | Valeur: -12127
Date: 2026-05-04 14:37:41 | Valeur: -14141
Date: 2026-05-04 14:37:41 | Valeur: -14481
Date: 2026-05-04 14:37:41 | Valeur: -13203
Date: 2026-05-04 14:37:41 | Valeur: -12960
Date: 2026-05-04 14:37:41 | Valeur: -11948
Date: 2026-05-04 14:37:41 | Valeur: -12213
Date: 2026-05-04 14:37:41 | Valeur: -14502
Date: 2026-05-04 14:37:41 | Valeur: -10808
Date: 2026-05-04 14:37:41 | Valeur: -14905
Date: 2026-05-04 14:37:41 | Valeur: -14645
Date: 2026-05-04 14:37:41 | Valeur: -12175
Date: 2026-05-04 14:37:41 | Valeur: -16312
Date: 2026-05-04 14:37:41 | Valeur: -11176
Date: 2026-05-04 14:37:41 | Valeur: -14702
Date: 2026-05-04 14:37:41 | Valeur: -14750
Date: 2026-05-04 14:37:41 | Valeur: -15403
Date: 2026-05-04 14:37:41 | Valeur: -12700
Date: 2026-05-04 14:37:41 | Valeur: -15473
Date: 2026-05-04 14:37:41 | Valeur: -14388
Date: 2026-05-04 14:37:41 | Valeur: -10572
Date: 2026-05-04 14:37:41 | Valeur: -12009
